index,raw_X,local_X,Z,C_unwrapped,pass_id
47528,217.2244,20.224400000000003,-2.6419,-180444.7874,2
47608,217.1615,20.16149999999999,-2.6425,-180898.1745,2
47688,217.0984,20.098399999999998,-2.6432,-181352.9802,2
47768,217.0351,20.0351,-2.6438,-181809.218,2
47848,216.9717,19.9717,-2.6444,-182266.9013,2
47928,216.908,19.907999999999987,-2.645,-182726.0441,2
48008,216.8441,19.844099999999997,-2.6457,-183186.6603,2
48088,216.78,19.78,-2.6463,-183648.7644,2
48168,216.7157,19.7157,-2.6469,-184112.3707,2
48248,216.6512,19.65119999999999,-2.6475,-184577.494,2
48328,216.5864,19.586399999999998,-2.6481,-185044.1494,2
48408,216.5215,19.521500000000003,-2.6487,-185512.352,2
48488,216.4563,19.4563,-2.6493,-185982.1174,2
48568,216.3909,19.390899999999988,-2.6499,-186453.4612,2
48648,216.3253,19.3253,-2.6504,-186926.3996,2
48728,216.2595,19.259500000000003,-2.651,-187400.9488,2
48808,216.1935,19.1935,-2.6516,-187877.1254,2
48888,216.1272,19.127199999999988,-2.6522,-188354.9462,2
48968,216.0607,19.060699999999997,-2.6527,-188834.4284,2
49048,215.9939,18.993899999999996,-2.6533,-189315.5895,2
49128,215.927,18.926999999999992,-2.6539,-189798.4471,2
49208,215.8598,18.859800000000007,-2.6544,-190283.0194,2
49288,215.7923,18.79230000000001,-2.655,-190769.3249,2
49368,215.7246,18.72460000000001,-2.6555,-191257.3821,2
49448,215.6567,18.6567,-2.6561,-191747.2102,2
49528,215.5885,18.58850000000001,-2.6566,-192238.8285,2
49608,215.52,18.52000000000001,-2.6571,-192732.257,2
49688,215.4513,18.451300000000003,-2.6577,-193227.5156,2
49768,215.3824,18.38239999999999,-2.6582,-193724.625,2
49848,215.3132,18.313199999999995,-2.6587,-194223.606,2
49928,215.2437,18.24369999999999,-2.6592,-194724.4799,2
50008,215.1739,18.173900000000003,-2.6597,-195227.2685,2
50088,215.1039,18.10390000000001,-2.6603,-195731.9938,2
